Species,2005L2-85,2005L2-77,2005L2-84,2005L2-82,2005L2-81,2005L2-80,2005L2-83,2005L2-76
Hannaella Hannaella_phetchabunensis,2,1,0,0,0,0,4,0
Gibberella Gibberella_tricincta,1,1,0,1,0,3,1,0
Rigidoporus Rigidoporus_crocatus,2,0,0,1,0,2,2,0
Geastrum Geastrum_striatum,3,0,1,0,0,0,3,0
Sagenomella unidentified,1,0,1,1,2,0,0,1
Marssonina unidentified,2,1,1,1,0,0,0,1
Hygrophorus Hygrophorus_korhonenii,0,2,0,1,0,0,2,1
Geastrum Geastrum_meridionale,0,0,0,1,0,2,0,3
Bambusaria Bambusaria_bambusae,0,0,1,2,0,0,3,0
Beauveria Beauveria_vermiconia,1,0,3,1,0,0,0,1
Acremonium Acremonium_persicinum,0,0,1,2,0,0,3,0
Falcocladium Falcocladium_turbinatum,0,1,0,1,0,1,3,0
Trichoderma Trichoderma_erinaceum,0,2,0,1,2,0,1,0
Mortierella Mortierella_elongata,0,0,3,0,0,0,2,1
Pluteus Pluteus_longistriatus,1,0,0,2,0,0,3,0
Coprinellus Coprinellus_verrucispermus,4,0,0,0,0,0,2,0
Gyrodon unidentified,1,2,1,1,0,0,1,0
Humicola Humicola_grisea,3,0,0,0,0,1,2,0
Ascotricha Ascotricha_chartarum,3,0,0,1,0,0,2,0
Myrothecium Myrothecium_verrucaria,3,0,2,0,0,1,0,0
Cylindrocladiella Cylindrocladiella_variabilis,1,0,3,0,0,0,1,1
Cladosporium Cladosporium_halotolerans,0,0,1,3,0,1,1,0
Veronaeopsis Veronaeopsis_simplex,0,0,0,3,0,0,0,3
Moesziomyces Moesziomyces_aphidis,1,0,0,2,0,0,0,3
Lentinus Lentinus_crinitus,3,0,1,0,0,0,0,2
Entomocorticium unidentified,0,0,0,2,3,1,0,0
Talaromyces Talaromyces_albobiverticillius,1,0,1,1,1,0,0,2
Nalanthamala Nalanthamala_diospyri,0,1,0,2,2,0,1,0
Cladosporium unidentified,2,0,0,0,0,3,1,0
Lactifluus Lactifluus_luteopus,0,0,0,0,1,0,5,0
Gymnoascus Gymnoascus_petalosporus,0,3,0,1,1,1,0,0
Fusarium Fusarium_delphinoides,0,1,0,1,2,1,1,0
Leucoagaricus Leucoagaricus_orientiflavus,0,0,0,0,3,2,1,0
Vishniacozyma Vishniacozyma_taibaiensis,2,0,1,0,0,0,2,1
Paraxerula Paraxerula_ellipsospora,2,0,0,1,0,1,1,1
Gibellulopsis Gibellulopsis_piscis,1,1,0,0,0,0,3,1
Angustimassarina Angustimassarina_acerina,1,1,0,0,0,0,4,0
Penicillium Penicillium_monsgalena,1,1,2,0,0,0,2,0
Cyphellophora Cyphellophora_pauciseptata,4,0,0,0,1,0,0,1
Xylodon Xylodon_rimosissimus,3,2,1,0,0,0,0,0
Apioplagiostoma Apioplagiostoma_populi,0,1,2,0,1,1,0,1
Readeriella unidentified,0,0,0,0,1,3,1,1
Septobasidium unidentified,0,0,1,0,0,3,2,0
Tricholoma Tricholoma_joachimii,0,0,0,0,2,0,1,3
Ustilago Ustilago_nunavutica,0,0,0,0,5,0,0,0
Agrocybe unidentified,1,1,0,0,0,1,1,1
Fomitiporia Fomitiporia_pentaphylacis,1,0,1,1,0,0,1,1
Rigidoporus Rigidoporus_ulmarius,0,2,0,0,1,0,0,2
Talaromyces Talaromyces_palmae,0,2,0,0,1,0,1,1
Phylloporus Phylloporus_rhodoxanthus,0,0,0,0,0,1,2,2
Aureobasidium Aureobasidium_thailandense,0,0,0,0,0,0,5,0
Colletotrichum Colletotrichum_brevisporum,0,0,0,0,0,5,0,0
Trechispora Trechispora_stellulata,1,0,0,0,2,0,2,0
Baudoinia unidentified,0,1,1,1,0,0,2,0
Glutinoglossum Glutinoglossum_heptaseptatum,1,2,1,0,0,0,1,0
Xylodon Xylodon_erastii,0,1,0,3,0,0,1,0
Coprinus Coprinus_bellulus,1,1,1,0,0,1,1,0
Coprinopsis unidentified,0,3,0,0,0,0,0,2
Umbilicaria Umbilicaria_rigida,2,1,0,0,0,0,0,2
Tomentella Tomentella_atroarenicolor,1,3,0,0,0,0,1,0
Lasiodiplodia Lasiodiplodia_bruguierae,0,2,1,0,0,0,2,0
Stachybotrys unidentified,2,3,0,0,0,0,0,0
Kockovaella Kockovaella_sacchari,0,0,0,1,0,2,2,0
Talaromyces Talaromyces_funiculosus,0,1,1,0,0,1,2,0
Coprinopsis Coprinopsis_bicornis,1,3,0,0,0,1,0,0
Vararia unidentified,1,0,3,1,0,0,0,0
Fusicolla unidentified,2,1,0,0,0,1,1,0
Terana Terana_coerulea,0,1,2,1,0,1,0,0
Eriocybe Eriocybe_chionea,0,1,0,1,2,1,0,0
Arachnomyces Arachnomyces_nodosetosus,1,0,0,0,0,0,4,0
Neokalmusia Neokalmusia_brevispora,5,0,0,0,0,0,0,0
Pacispora Pacispora_scintillans,0,1,0,0,3,0,1,0
Mariannaea Mariannaea_superimposita,1,0,1,0,0,0,3,0
Pluteus Pluteus_nanus,2,0,1,2,0,0,0,0
Zygosaccharomyces Zygosaccharomyces_parabailii,0,0,1,0,0,1,0,3
Saccharomyces Saccharomyces_kudriavzevii,2,2,1,0,0,0,0,0
Xylaria Xylaria_multiplex,2,0,0,1,0,0,0,2
Biscogniauxia Biscogniauxia_citriformis,2,0,1,0,0,0,2,0
Chaetomium Chaetomium_iranianum,0,0,1,0,2,1,0,1
Thyridaria Thyridaria_acaciae,0,1,1,0,0,3,0,0
Malassezia Malassezia_nana,1,1,2,1,0,0,0,0
Hannaella Hannaella_coprosmae,1,1,1,0,1,0,0,1
Ramophialophora Ramophialophora_humicola,2,0,1,1,0,0,1,0
Proliferodiscus unidentified,0,0,1,0,1,0,3,0
Tintelnotia Tintelnotia_destructans,3,0,0,0,1,0,0,1
Xanthoporia Xanthoporia_radiata,1,1,0,0,0,2,0,1
Pestalotiopsis Pestalotiopsis_trachicarpicola,0,0,1,0,0,2,1,1
Lambertella Lambertella_subrenispora,0,1,2,1,1,0,0,0
Burgoa Burgoa_verzuoliana,5,0,0,0,0,0,0,0
Ramaria unidentified,1,0,0,1,0,0,2,1
Hyalorbilia Hyalorbilia_erythrostigma,0,1,0,0,0,3,0,1
Coprinellus Coprinellus_disseminatus,2,0,0,0,0,1,0,2
Meyerozyma Meyerozyma_guilliermondii,0,0,0,3,0,0,2,0
Trichoderma Trichoderma_simmonsii,0,2,0,1,0,0,1,1
Pectenia Pectenia_plumbea,1,0,0,1,0,1,1,1
Xanthomendoza Xanthomendoza_novozelandica,1,0,0,1,2,0,0,1
Conlarium Conlarium_dupliciascosporum,4,0,0,0,0,0,1,0
Leccinellum Leccinellum_crocipodium,1,0,2,0,0,2,0,0
Schizopora Schizopora_flavipora,2,0,0,3,0,0,0,0
Filobasidium Filobasidium_sp,0,0,1,2,0,0,2,0
Microdochium unidentified,1,0,0,0,0,2,0,2
Thielavia unidentified,0,3,0,1,0,1,0,0
Chaetospermum Chaetospermum_camelliae,0,0,1,0,0,4,0,0
Colpoma Colpoma_quercinum,0,0,1,1,0,1,1,1
Chalciporus Chalciporus_pseudorubinellus,2,1,1,0,1,0,0,0
Lecanicillium Lecanicillium_saksenae,1,0,4,0,0,0,0,0
Xenoacremonium Xenoacremonium_recifei,0,0,0,0,0,4,0,0
Inocybe Inocybe_rhodiola,0,1,0,0,1,0,0,2
Rhodotorula Rhodotorula_taiwanensis,0,1,0,1,1,0,0,1
Talaromyces Talaromyces_luteus,1,1,0,0,0,0,2,0
Heterodermia Heterodermia_diademata,1,0,0,0,0,0,1,2
Wallemia Wallemia_mellicola,0,0,0,0,0,0,4,0
Trichoderma Trichoderma_citrinoviride,0,1,1,1,0,0,0,1
Candida Candida_sojae,0,0,0,0,0,4,0,0
Mucor Mucor_nidicola,0,0,2,0,0,0,0,2
Metarhizium Metarhizium_novozealandicum,0,0,1,1,0,2,0,0
Plectania Plectania_melaena,0,0,2,1,0,1,0,0
Pezicula Pezicula_pruinosa,0,1,0,1,1,1,0,0
Saturnispora Saturnispora_diversa,0,0,0,0,0,4,0,0
Achaetomium Achaetomium_macrosporum,0,0,1,0,0,0,2,1
Neoascochyta Neoascochyta_exitialis,0,0,1,0,0,1,1,1
Porpidia Porpidia_striata,1,0,0,1,0,2,0,0
Pyrenochaetopsis Pyrenochaetopsis_pratorum,1,0,0,1,1,0,0,1
Vishniacozyma Vishniacozyma_dimennae,0,0,0,0,0,0,4,0
Aphanoascus Aphanoascus_cinnabarinus,0,1,2,0,0,0,1,0
Curvularia Curvularia_uncinata,2,1,0,0,0,0,0,1
Hyperphyscia Hyperphyscia_adglutinata,1,0,0,0,2,0,0,1
Protocrea Protocrea_pallida,0,0,1,0,0,2,0,1
Tubariomyces Tubariomyces_similis,0,0,2,0,1,0,1,0
Cryptosporiopsis Cryptosporiopsis_brunnea,0,1,0,0,0,3,0,0
Delfinachytrium Delfinachytrium_mesopotamicum,0,0,0,1,1,0,0,2
Chaetomium Chaetomium_murorum,0,2,0,0,1,0,1,0
Luellia Luellia_recondita,0,1,0,0,1,0,2,0
Thelephora Thelephora_corticioides,0,1,1,2,0,0,0,0
Basidiobolus Basidiobolus_magnus,0,2,0,1,0,0,0,1
Wallemia Wallemia_muriae,0,2,0,0,0,0,1,1
Favolaschia Favolaschia_cinnabarina,0,0,0,2,1,1,0,0
Penicillium Penicillium_toxicarium,0,1,0,1,0,1,1,0
Setophaeosphaeria Setophaeosphaeria_badalingensis,1,0,2,0,0,0,1,0
Coniochaeta Coniochaeta_fodinicola,0,0,0,2,0,0,1,1
Scytalidium Scytalidium_ganodermophthorum,0,0,0,1,1,0,1,1
Preussia Preussia_terricola,0,0,0,1,0,1,2,0
Meira Meira_nashicola,0,0,0,1,0,0,3,0
Tyromyces unidentified,0,0,0,1,0,2,1,0
Scytalidium Scytalidium_cuboideum,0,2,0,0,1,1,0,0
Cryptococcus unidentified,0,3,1,0,0,0,0,0
Tubeufia unidentified,0,0,0,1,1,1,1,0
Cortinarius Cortinarius_annulatus,0,1,0,1,0,0,1,1
Usnea Usnea_esperantiana,0,0,0,0,2,0,1,1
Trichoderma Trichoderma_epimyces,0,1,0,0,2,0,0,1
Rhodotorula Rhodotorula_graminis,1,1,0,0,0,0,2,0
Spizellomyces Spizellomyces_acuminatus,1,0,2,0,0,0,1,0
Meira Meira_geulakonigii,1,0,0,1,0,0,0,2
Diplomitoporus Diplomitoporus_rimosus,0,0,1,0,0,0,2,1
Filobasidium Filobasidium_floriforme,0,2,0,1,0,0,0,1
Hyphodontia Hyphodontia_setulosa,0,0,0,0,1,2,1,0
Aspergillus Aspergillus_auricomus,0,3,0,0,0,0,1,0
Gymnascella Gymnascella_hyalinospora,0,1,0,1,1,1,0,0
Microascus Microascus_brevicaulis,0,1,0,0,2,0,0,1
Lepiota Lepiota_echinella,0,1,2,1,0,0,0,0
Arbusculina Arbusculina_fragmentans,0,1,0,1,1,0,0,1
Triparticalcar unidentified,0,0,0,0,3,0,0,1
Leucoagaricus Leucoagaricus_barssii,0,0,0,0,3,0,0,1
Lactifluus Lactifluus_igniculus,1,0,1,1,0,0,1,0
Talaromyces Talaromyces_ptychoconidium,1,0,0,0,0,2,1,0
Cladosporium Cladosporium_velox,1,0,0,0,0,1,2,0
Emericellopsis Emericellopsis_glabra,2,0,0,2,0,0,0,0
Moniliophthora Moniliophthora_roreri,3,0,0,0,0,0,1,0
Lachancea Lachancea_lanzarotensis,1,1,1,0,0,0,1,0
Peniophora Peniophora_piceae,1,1,0,1,0,0,0,1
Polyplosphaeria Polyplosphaeria_fusca,2,0,0,1,0,0,1,0
Hannaella Hannaella_zeae,3,0,0,0,0,0,1,0
Pezicula Pezicula_neosporulosa,1,0,0,1,0,0,2,0
Cystobasidium Cystobasidium_slooffiae,1,0,0,0,1,0,2,0
Geastrum Geastrum_rufescens,2,2,0,0,0,0,0,0
Scutellinia Scutellinia_crinita,3,0,0,0,0,1,0,0
Pseudogymnoascus Pseudogymnoascus_roseus,1,0,1,0,0,0,0,2
Talaromyces Talaromyces_purpureogenus,1,0,1,1,0,0,0,1
Inocybe Inocybe_vulpinella,2,0,0,0,0,1,0,1
Talaromyces Talaromyces_columbinus,2,1,1,0,0,0,0,0
Collarina Collarina_aurantiaca,2,0,0,0,0,0,1,1
Scytalidium unidentified,3,0,0,1,0,0,0,0
Pseudallescheria Pseudallescheria_boydii,1,0,0,0,0,0,3,0
Arrhenia Arrhenia_retiruga,1,0,0,0,2,0,0,1
Neoascochyta Neoascochyta_desmazieri,1,1,1,0,0,1,0,0
Coniochaeta Coniochaeta_gigantospora,2,0,0,1,0,0,1,0
Eilifdahlia Eilifdahlia_dahlii,1,0,0,1,0,1,0,1
Haasiella Haasiella_venustissima,2,0,0,0,1,0,0,1
Scopulariopsis unidentified,1,2,1,0,0,0,0,0
Talaromyces Talaromyces_neofusisporus,2,1,0,0,0,0,1,0
Wickerhamomyces Wickerhamomyces_sydowiorum,3,0,0,0,1,0,0,0
Stachybotrys Stachybotrys_chartarum,2,0,0,0,0,2,0,0
Flagellospora Flagellospora_fusarioides,2,0,0,1,0,0,1,0
Ascosphaera Ascosphaera_subglobosa,1,0,0,1,0,1,1,0
Cercophora unidentified,2,0,0,0,2,0,0,0
Metarhizium Metarhizium_pemphigi,1,0,1,0,1,0,0,1
Amanita Amanita_calyptratoides,1,0,0,1,0,0,1,0
Cudonia Cudonia_lutea,0,1,0,1,0,0,1,0
Candida Candida_insectorum,0,0,0,2,0,0,0,1
Mortierella Mortierella_elongatula,0,0,0,1,1,1,0,0
Aspergillus Aspergillus_astellatus,0,0,0,1,0,0,1,1
Rosellinia Rosellinia_subiculata,0,0,0,1,1,0,1,0
Lactarius Lactarius_purpureus,0,0,0,1,0,0,1,1
Lasiodiplodia Lasiodiplodia_crassispora,0,0,0,1,1,0,0,1
Rhytisma Rhytisma_acerinum,0,0,0,1,1,0,0,1
Calicium Calicium_chlorosporum,1,0,1,1,0,0,0,0
Amanita Amanita_nauseosa,0,0,0,0,1,1,0,1
Postia Postia_duplicata,0,0,0,0,1,0,1,1
Hortaea Hortaea_werneckii,0,0,0,0,3,0,0,0
Cryptococcus Cryptococcus_dimennae,1,0,0,0,0,2,0,0
Pochonia Pochonia_cordycepisociata,0,0,0,0,1,0,0,2
Arachnomyces unidentified,2,0,0,0,0,0,1,0
Scytinostroma Scytinostroma_odoratum,0,0,0,0,2,1,0,0
Mariannaea Mariannaea_samuelsii,0,0,0,0,3,0,0,0
Marasmiellus Marasmiellus_tenerrimus,1,0,0,0,0,1,0,1
Schizothecium unidentified,0,1,0,0,0,0,1,1
Acrodictys Acrodictys_elaeidicola,0,0,0,1,2,0,0,0
Hypoxylon Hypoxylon_pulicicidum,0,2,0,0,1,0,0,0
Penicillium Penicillium_catalonicum,0,0,0,1,0,1,0,1
Didymella Didymella_curtisii,0,2,0,0,0,0,0,1
Bjerkandera Bjerkandera_adusta,2,0,0,0,0,1,0,0
Septoria Septoria_ekmaniana,1,0,0,0,0,0,0,2
Hemileia Hemileia_vastatrix,0,0,0,0,3,0,0,0
Sporobolomyces Sporobolomyces_oryzicola,0,0,0,0,2,0,0,1
Colletotrichum Colletotrichum_sublineola,2,0,0,0,0,0,0,1
Hannaella Hannaella_oryzae,0,2,0,0,0,1,0,0
Phaeococcomyces Phaeococcomyces_catenatus,0,0,1,0,0,0,1,1
Cora Cora_applanata,0,0,1,0,0,1,1,0
Ceriporia Ceriporia_sulphuricolor,0,0,1,0,0,1,0,1
Leptosphaeria Leptosphaeria_polylepidis,0,0,1,0,2,0,0,0
Subramaniula Subramaniula_irregularis,1,0,1,0,1,0,0,0
Podospora Podospora_intestinacea,0,0,1,1,0,0,1,0
Hygrocybe Hygrocybe_acutoconica_var._microspora,0,0,1,0,1,0,0,1
Cyphellophora unidentified,0,1,0,0,0,0,1,1
Trimmatothelopsis Trimmatothelopsis_rhizobola,0,0,1,0,2,0,0,0
Hannaella Hannaella_surugaensis,0,1,0,0,0,2,0,0
Phialemonium Phialemonium_globosum,1,0,0,0,1,0,0,1
Agaricus Agaricus_tollocanensis,1,0,1,1,0,0,0,0
Myochromella Myochromella_boudieri,1,1,0,0,1,0,0,0
Gliomastix unidentified,0,0,1,1,0,1,0,0
Aspergillus Aspergillus_carbonarius,0,0,1,1,0,0,1,0
Meira Meira_miltonrushii,0,0,1,2,0,0,0,0
Siphula Siphula_fastigiata,0,0,1,0,0,2,0,0
Heinemannomyces Heinemannomyces_splendidissimus,0,0,2,0,0,0,1,0
Hygrocybe Hygrocybe_constrictospora,0,0,1,0,0,1,0,1
Entoloma Entoloma_subcollariatum,0,0,1,0,0,1,1,0
Rhodonia Rhodonia_placenta,0,0,1,0,1,1,0,0
Podoscypha Podoscypha_bolleana,1,1,0,0,0,0,0,1
Trechispora Trechispora_laevis,1,0,1,0,0,0,1,0
Sporormiella Sporormiella_minima,0,1,0,1,0,0,0,1
Ganoderma Ganoderma_weberianum,0,0,0,2,0,0,1,0
Amanita Amanita_levistriata,0,1,1,0,0,0,1,0
Ilyonectria Ilyonectria_liriodendri,0,0,0,1,1,0,1,0
Emericellopsis Emericellopsis_humicola,0,0,0,1,0,0,2,0
Agaricus Agaricus_pocillator,0,0,0,1,0,0,0,2
Didymella Didymella_exigua,2,0,0,0,0,0,0,1
Trapelia Trapelia_lilacea,0,0,0,1,1,1,0,0
Exophiala Exophiala_lecanii-corni,1,0,2,0,0,0,0,0
Sphaerellopsis Sphaerellopsis_paraphysata,0,1,0,1,1,0,0,0
Sagenomella Sagenomella_verticillata,1,0,0,1,0,1,0,0
Hygrocybe Hygrocybe_purpureofolia,0,0,1,0,1,1,0,0
Hyphoderma Hyphoderma_nudicephalum,1,1,0,0,0,0,0,1
Acrodictys Acrodictys_peruamazonensis,0,0,1,2,0,0,0,0
Parmelia Parmelia_fraudans,0,0,1,1,0,0,1,0
Vishniacozyma unidentified,0,1,0,0,1,1,0,0
Gyrodontium Gyrodontium_sacchari,0,0,1,0,1,0,1,0
Biatriospora Biatriospora_mackinnonii,1,0,0,0,1,1,0,0
Rigidoporus Rigidoporus_pouzarii,2,0,1,0,0,0,0,0
Fusarium Fusarium_bactridioides,0,0,1,1,1,0,0,0
Neodeightonia Neodeightonia_subglobosa,2,0,1,0,0,0,0,0
Psathyrella Psathyrella_candolleana,0,0,0,0,1,0,0,2
Cyphellophora Cyphellophora_fusarioides,0,0,0,0,0,2,0,1
Ganoderma Ganoderma_multiplicatum,1,0,1,0,0,0,0,1
Lopharia unidentified,1,2,0,0,0,0,0,0
Talaromyces Talaromyces_proteolyticus,0,0,0,0,0,2,0,1
Clavaria Clavaria_flavipes,0,0,0,0,0,2,0,1
Hymenoscyphus Hymenoscyphus_ohakune,2,0,0,0,0,0,1,0
Metarhizium Metarhizium_viride,1,2,0,0,0,0,0,0
Colletotrichum Colletotrichum_taiwanense,1,0,0,2,0,0,0,0
Lasiodiplodia Lasiodiplodia_venezuelensis,1,0,1,0,0,0,0,1
Pseudozyma Pseudozyma_hubeiensis,0,0,0,0,0,0,3,0
Rhodotorula Rhodotorula_babjevae,1,0,0,0,0,1,0,1
Chaetomium Chaetomium_brasiliense,1,0,0,0,2,0,0,0
Aspergillus Aspergillus_leporis,0,0,0,0,0,2,1,0
Lachnum Lachnum_pygmaeum,1,0,0,0,1,1,0,0
Papiliotrema Papiliotrema_pseudoalba,0,1,1,0,0,1,0,0
Arthothelium Arthothelium_spectabile,0,0,0,0,0,0,2,1
Lecythophora Lecythophora_luteoviridis,3,0,0,0,0,0,0,0
Geastrum Geastrum_austrominimum,1,0,0,0,0,0,2,0
Phialea unidentified,0,2,0,0,1,0,0,0
Wirthiotrema Wirthiotrema_duplomarginatum,1,0,1,0,1,0,0,0
Fomitiporia Fomitiporia_gabonensis,1,0,0,0,0,1,0,1
Sakaguchia Sakaguchia_lamellibrachiae,1,0,0,0,1,0,0,1
Stagonosporopsis Stagonosporopsis_crystalliniformis,0,1,0,0,1,0,1,0
Dendryphiella Dendryphiella_paravinosa,0,1,0,0,0,1,1,0
Neostagonospora Neostagonospora_elegiae,0,1,0,0,0,1,1,0
Megasporoporia Megasporoporia_bannaensis,0,0,0,0,1,0,2,0
Postia Postia_carbophila,0,0,0,0,0,0,3,0
Coprinopsis Coprinopsis_fusispora,0,0,0,0,1,0,2,0
Antrodiella Antrodiella_afrocitrina,0,1,0,0,0,1,1,0
Trematosphaeria unidentified,1,1,0,0,0,0,0,1
Talaromyces Talaromyces_allahabadensis,3,0,0,0,0,0,0,0
Cystolepiota Cystolepiota_luteohemisphaerica,1,1,0,0,0,0,0,1
Ascochyta Ascochyta_medicaginicola_var._macrospora,1,0,1,0,1,0,0,0
Pertusaria Pertusaria_corallina,1,0,0,0,0,0,0,2
Arthrobotrys Arthrobotrys_conoides,0,0,0,0,2,0,1,0
Kazachstania Kazachstania_aquatica,1,1,0,0,0,0,1,0
Ampelomyces Ampelomyces_quisqualis,1,0,0,2,0,0,0,0
Tomentella Tomentella_clavigera,1,0,0,0,0,1,1,0
Volutella Volutella_consors,0,0,0,0,0,2,1,0
Oxyporus Oxyporus_populinus,1,0,0,0,2,0,0,0
Cortinarius Cortinarius_neotropicus,3,0,0,0,0,0,0,0
Penicillium Penicillium_quercetorum,1,0,0,0,1,0,0,1
Hypomyces unidentified,0,0,0,0,0,1,2,0
Umbilicaria Umbilicaria_aprina,0,0,0,0,0,0,2,1
Xylaria Xylaria_venustula,0,0,0,0,0,0,2,0
Siphula Siphula_ceratites,0,0,1,1,0,0,0,0
Stromatonectria Stromatonectria_caraganae,0,0,1,0,0,1,0,0
Coprinopsis Coprinopsis_marcescibilis,0,0,1,0,0,1,0,0
Cladorrhinum unidentified,0,0,1,0,0,1,0,0
Lasiodiplodia Lasiodiplodia_mediterranea,0,0,0,0,0,0,1,1
Talaromyces Talaromyces_emodensis,1,0,0,0,0,0,1,0
Phaeosphaeria Phaeosphaeria_juncicola,0,0,0,0,0,0,1,1
Trametes Trametes_cubensis,0,0,1,0,0,0,0,1
Thermomyces Thermomyces_lanuginosus,0,0,0,0,0,0,2,0
Buellia Buellia_halonia,0,0,1,0,1,0,0,0
Bambusicola Bambusicola_massarinia,0,0,1,0,0,0,0,1
Micronematobotrys Micronematobotrys_verrucosus,0,0,1,1,0,0,0,0
Russula Russula_alboareolata,0,0,0,0,0,0,1,1
Hyphodontia Hyphodontia_crustosa,0,0,0,0,0,0,1,1
Conocybe Conocybe_deliquescens,0,0,0,0,0,0,2,0
Didymella Didymella_dactylidis,0,0,0,0,0,0,1,1
Lactarius Lactarius_pomiolens,0,0,1,0,0,1,0,0
Cladophialophora Cladophialophora_proteae,2,0,0,0,0,0,0,0
Genolevuria Genolevuria_amylolytica,0,0,0,0,0,0,0,2
Lentithecium Lentithecium_pseudoclioninum,0,0,0,0,0,0,0,2
Entoloma Entoloma_insidiosum,0,0,0,0,0,0,2,0
Conocybe Conocybe_pallidospora,0,0,0,0,0,0,2,0
Cortinarius Cortinarius_insignibulbus,0,0,1,0,0,0,0,1
Rhodotorula Rhodotorula_diobovata,0,0,1,1,0,0,0,0
Botryobasidium Botryobasidium_subcoronatum,0,0,0,0,0,0,0,2
Tolypocladium Tolypocladium_japonicum,0,0,0,0,0,0,0,2
Sarocladium Sarocladium_subulatum,0,0,0,0,0,0,0,2
Sphaerosporella Sphaerosporella_brunnea,0,0,0,0,0,0,0,2
Clonostachys Clonostachys_phyllophila,0,0,1,0,0,0,1,0
Trichoderma Trichoderma_pseudogelatinosum,0,0,0,0,0,0,0,2
Paraphoma Paraphoma_chrysanthemicola,0,0,0,0,0,0,1,1
Toninia Toninia_ruginosa,0,0,2,0,0,0,0,0
Pezicula Pezicula_heterochroma,0,0,1,1,0,0,0,0
Fusarium Fusarium_asiaticum,0,0,1,0,0,1,0,0
Neonectria unidentified,1,0,0,0,0,0,1,0
Skeletocutis Skeletocutis_odora,0,0,1,0,0,0,0,1
Lophiotrema Lophiotrema_rubi,0,0,0,0,0,0,2,0
Curvularia Curvularia_lunata,0,0,0,0,0,0,2,0
Dentocorticium Dentocorticium_sulphurellum,0,0,1,0,0,0,0,1
Hannaella Hannaella_luteola,1,0,0,0,1,0,0,0
Neodevriesia Neodevriesia_coryneliae,0,0,0,0,0,0,2,0
Austroplaca unidentified,0,0,0,0,0,0,2,0
Peniophora unidentified,1,0,0,0,0,0,1,0
Graphium Graphium_basitruncatum,0,0,0,0,0,0,1,1
Thelonectria Thelonectria_jungneri,2,0,0,0,0,0,0,0
Escovopsis unidentified,0,0,0,0,0,0,2,0
Laetiporus Laetiporus_persicinus,0,0,0,1,0,0,1,0
Penicillium Penicillium_copticola,0,0,0,1,0,0,1,0
Cladophialophora Cladophialophora_chaetospira,0,0,0,1,0,0,1,0
Leptosphaeria Leptosphaeria_marina,0,0,0,1,0,0,1,0
Saccharomycopsis Saccharomycopsis_fodiens,1,0,0,0,0,0,1,0
Setoseptoria Setoseptoria_arundinacea,1,1,0,0,0,0,0,0
Kabatiella Kabatiella_lini,1,0,1,0,0,0,0,0
Engyodontium Engyodontium_album,0,0,0,1,0,0,1,0
Cyberlindnera Cyberlindnera_subsufficiens,0,0,0,2,0,0,0,0
Acarospora Acarospora_cervina,0,0,0,0,0,1,1,0
Xylaria Xylaria_oxyacanthae,0,0,0,1,1,0,0,0
Steccherinum Steccherinum_tenuispinum,0,0,0,0,0,2,0,0
Zopfiella Zopfiella_karachiensis,0,0,0,0,0,2,0,0
Cephaliophora Cephaliophora_tropica,0,0,0,2,0,0,0,0
Gibberella Gibberella_circinata,2,0,0,0,0,0,0,0
Glomerulispora Glomerulispora_mangrovei,0,0,0,0,1,1,0,0
Symmetrospora Symmetrospora_coprosmae,0,0,0,0,1,0,0,1
Piloporia Piloporia_sajanensis,0,0,0,0,1,1,0,0
Curvularia Curvularia_caricae-papayae,0,0,0,0,1,0,1,0
Amauroderma Amauroderma_sprucei,1,0,0,0,1,0,0,0
Melanotaenium Melanotaenium_euphorbiae,0,0,0,0,2,0,0,0
Sydowiella Sydowiella_stellatifolii,2,0,0,0,0,0,0,0
Mortierella Mortierella_alpina,0,0,0,0,1,0,0,1
Claviceps Claviceps_maximensis,0,0,0,0,1,1,0,0
Hydropus unidentified,0,0,0,0,1,1,0,0
Tothia Tothia_spartii,0,0,0,0,1,0,0,1
Phoma Phoma_saxea,0,0,0,0,1,1,0,0
Marasmius Marasmius_torquescens,0,0,0,0,1,1,0,0
Ustilago Ustilago_filiformis,0,0,0,0,1,0,1,0
Helvella Helvella_beatonii,0,0,0,0,1,1,0,0
Manglicola Manglicola_guatemalensis,0,0,0,0,1,0,0,1
Cystolepiota unidentified,0,0,0,1,0,0,0,1
Colletotrichum Colletotrichum_queenslandicum,0,0,0,0,0,1,1,0
Acremonium Acremonium_brachypenium,0,0,0,0,0,1,0,1
Cercospora unidentified,0,0,0,1,0,0,0,1
Devriesia Devriesia_strelitziicola,0,0,0,1,0,0,0,1
Vishniacozyma Vishniacozyma_tephrensis,0,0,0,0,0,1,0,1
Xenophaeosphaeria Xenophaeosphaeria_grewiae,0,0,0,1,0,0,1,0
Cryptodiscus Cryptodiscus_pallidus,0,0,0,0,0,1,1,0
Durella Durella_connivens,0,0,0,0,0,0,1,1
Chromocleista unidentified,0,0,0,1,0,1,0,0
Cladosporium Cladosporium_grevilleae,0,0,0,1,0,1,0,0
Hannaella Hannaella_sinensis,0,0,0,1,0,0,0,1
Auxarthron Auxarthron_zuffianum,0,0,0,1,1,0,0,0
Tetracladium Tetracladium_furcatum,1,0,0,0,0,1,0,0
Helvella Helvella_crispa,0,0,0,0,0,0,1,1
Mortierella Mortierella_zonata,0,0,0,1,1,0,0,0
